n,TF-IDF + LogReg,BETO fine-tuning
500,0.3061160237977985,0.3776196486228208
2000,0.4299186455151249,0.49861445479128613
8000,0.4993575768163314,0.5648271896765483
32000,0.5235438225522875,0.5953092656514506
